Quant Method,Regression,m,yint,r2
DCIP_267.99mz,linear,7.40428E+08,0,0.9685
DCIP_270nm,linear,7.78880E+06,0,0.9984
LDOPA_198mz,linear,6.76699E+08,0,0.9605
LDOPA_280nm,linear,3.16024E+06,0,0.9990
MUBph_315nm,linear,1.12259E+07,0,0.9998
MUBph_257mz,linear,1.26538E+09,0,0.9513
