Quant Method,Filename,comp_method,soil_type,rs,treatment,env_rep,tech_rep,Sample Type,Area,Height,cali conc,calc conc,RT,SN
MUBph_315nm,CF_fo_H2O_2_2,CF,fo,MUBph,CF_fo,B,2,Sample,6457.878073,856.0495693,NA,0.000640279,5.036666667,2.573012523
MUBph_315nm,CF_fo_H2O_2_3,CF,fo,MUBph,CF_fo,B,3,Sample,7115.68914,290.4875442,NA,0.000705499,5.166666667,1.076795005
MUBph_315nm,CF_fo_H2O_3_1,CF,fo,MUBph,CF_fo,C,1,Sample,35326.74419,3500.951446,NA,0.003502541,4.633333333,7.812739769
MUBph_315nm,CF_fo_H2O_3_2,CF,fo,MUBph,CF_fo,C,2,Sample,7823.010963,1075.869236,NA,0.000775628,5.073333333,4.716941954
MUBph_315nm,CF_fo_H2O_3_3,CF,fo,MUBph,CF_fo,C,3,Sample,2255.328571,236.7081334,NA,0.000223609,4.486666667,0.935666225
MUBph_315nm,CF_gs_H2O_1_1,CF,gs,MUBph,CF_gs,A,1,Sample,1117.234884,170.3115804,NA,0.00011077,4.643333333,0.484252681
MUBph_315nm,CF_gs_H2O_1_2,CF,gs,MUBph,CF_gs,A,2,Sample,NA,NA,NA,NA,NA,NA
MUBph_315nm,CF_gs_H2O_1_3,CF,gs,MUBph,CF_gs,A,3,Sample,NA,NA,NA,NA,NA,NA
MUBph_315nm,CF_gs_H2O_2_1,CF,gs,MUBph,CF_gs,B,1,Sample,6464.3,673.3103448,NA,0.000640916,4.683333333,10.07188972
MUBph_315nm,CF_gs_H2O_2_2,CF,gs,MUBph,CF_gs,B,2,Sample,NA,NA,NA,NA,NA,NA
MUBph_315nm,CF_gs_H2O_2_3,CF,gs,MUBph,CF_gs,B,3,Sample,NA,NA,NA,NA,NA,NA
MUBph_315nm,CF_gs_H2O_3_1,CF,gs,MUBph,CF_gs,C,1,Sample,4698.168439,539.9468439,NA,0.000465809,4.746666667,1.971729411
MUBph_315nm,CF_gs_H2O_3_2,CF,gs,MUBph,CF_gs,C,2,Sample,3970.168106,405.8061417,NA,0.00039363,4.78,0.783976956
MUBph_315nm,CF_gs_H2O_3_3,CF,gs,MUBph,CF_gs,C,3,Sample,4915.980731,165.3100906,NA,0.000487405,4.493333333,0.841963197
MUBph_315nm,CF_kc_H2O_1_1,CF,kc,MUBph,CF_kc,A,1,Sample,656585.7173,46391.70525,NA,0.065098504,4.633333333,155.5238325
MUBph_315nm,CF_kc_H2O_1_2,CF,kc,MUBph,CF_kc,A,2,Sample,561950.7799,42539.27965,NA,0.055715733,5.06,238.940413
MUBph_315nm,CF_kc_H2O_1_3,CF,kc,MUBph,CF_kc,A,3,Sample,436975.3967,14487.41171,NA,0.043324799,4.043333333,9.067496956
MUBph_315nm,CF_kc_H2O_2_1,CF,kc,MUBph,CF_kc,B,1,Sample,690114.5269,57972.77141,NA,0.068422784,4.553333333,169.2939399
MUBph_315nm,CF_kc_H2O_2_2,CF,kc,MUBph,CF_kc,B,2,Sample,645763.2,52797.06991,NA,0.064025483,4.896666667,364.4218125
MUBph_315nm,CF_kc_H2O_2_3,CF,kc,MUBph,CF_kc,B,3,Sample,375577.6808,15214.37149,NA,0.0372374,4.366666667,7.933820063
MUBph_315nm,CF_kc_H2O_3_1,CF,kc,MUBph,CF_kc,C,1,Sample,617881.2,49106.08777,NA,0.061261067,4.6,181.362298
MUBph_315nm,CF_kc_H2O_3_2,CF,kc,MUBph,CF_kc,C,2,Sample,446602.5302,29006.6733,NA,0.044279301,5.083333333,665.7551433
MUBph_315nm,CF_kc_H2O_3_3,CF,kc,MUBph,CF_kc,C,3,Sample,384115.8,15214.10921,NA,0.038083929,4.193333333,9.252141964
MUBph_315nm,CF_MB_H2O_1_1,CF,MB,MUBph,CF_MB,A,1,Sample,5276807.484,276589.2817,NA,0.523179627,4.83,1069.023508
MUBph_315nm,CF_MB_H2O_1_2,CF,MB,MUBph,CF_MB,A,2,Sample,4868069.2,272676.1429,NA,0.482654453,5.136666667,3890.152398
MUBph_315nm,CF_MB_H2O_1_3,CF,MB,MUBph,CF_MB,A,3,Sample,4062366.494,144152.1711,NA,0.402771447,4.66,59.72195316
MUBph_315nm,CF_MB_H2O_2_1,CF,MB,MUBph,CF_MB,B,1,Sample,4951725.129,247765.4974,NA,0.490948687,4.886666667,2261.067718
MUBph_315nm,CF_MB_H2O_2_2,CF,MB,MUBph,CF_MB,B,2,Sample,4388034.773,251903.9589,NA,0.43506048,5.243333333,330.7226614
MUBph_315nm,CF_MB_H2O_2_3,CF,MB,MUBph,CF_MB,B,3,Sample,4304129.979,150797.0748,NA,0.426741571,4.49,73.84348025
MUBph_315nm,CF_MB_H2O_3_1,CF,MB,MUBph,CF_MB,C,1,Sample,5420308.865,268281.7551,NA,0.537407358,4.913333333,815.9082723
MUBph_315nm,CF_MB_H2O_3_2,CF,MB,MUBph,CF_MB,C,2,Sample,5167428.47,295336.5093,NA,0.512335026,5.236666667,3169.652271
MUBph_315nm,CF_MB_H2O_3_3,CF,MB,MUBph,CF_MB,C,3,Sample,4394079.658,160741.2884,NA,0.435659812,4.563333333,86.0397818
MUBph_315nm,CF_MB_H2O_4_1,CF,MB,MUBph,CF_MB,D,1,Sample,5145920.6,268228.6182,NA,0.510202585,4.813333333,1226.472745
MUBph_315nm,CF_MB_H2O_4_2,CF,MB,MUBph,CF_MB,D,2,Sample,5160558.124,283243.2718,NA,0.511653852,5.056666667,3692.717203
MUBph_315nm,CF_MB_H2O_4_3,CF,MB,MUBph,CF_MB,D,3,Sample,3831693.2,143182.4589,NA,0.379900882,4.603333333,41.11948227
MUBph_315nm,CF_MB_H2O_5_1,CF,MB,MUBph,CF_MB,E,1,Sample,4865164.7,248312.0063,NA,0.48236648,4.906666667,4608.925446
MUBph_315nm,CF_MB_H2O_5_2,CF,MB,MUBph,CF_MB,E,2,Sample,4772517.9,269130.3861,NA,0.473180828,5.106666667,5738.28208
MUBph_315nm,CF_MB_H2O_5_3,CF,MB,MUBph,CF_MB,E,3,Sample,3890441.348,135605.7658,NA,0.385725585,4.576666667,55.52505825
MUBph_315nm,CF_MB_H2O_6_1,CF,MB,MUBph,CF_MB,F,1,Sample,4895016.039,250651.178,NA,0.485326151,4.77,529.1193237
